445 1277 2055 2546 2546 2055 1277 445
2055 3648 4856 5537 5537 4856 3648 2055
4236 6299 7768 8725 8725 7768 6299 4236
6299 8725 10987 12496 12496 10987 8725 6299
7768 10987 14645 17730 17730 14645 10987 7768
8725 12496 17730 23320 23320 17730 12496 8725
8725 12496 17730 23320 23320 17730 12496 8725
7768 10987 14645 17730 17730 14645 10987 7768
6299 8725 10987 12496 12496 10987 8725 6299
4236 6299 7768 8725 8725 7768 6299 4236
2055 3648 4856 5537 5537 4856 3648 2055
445 1277 2055 2546 2546 2055 1277 445
